field1,field2,field3,field4,field5,_GC_TYPE,_CLEANADDR,_X,_Y
254,국제신도시,부산,강서구,부산 강서구 명지동 3412-6,정,부산광역시 강서구 명지동 3412-6,128.91962583743415,35.09770447040257
264,서동1호,부산,금정구,부산 금정구 서동 210-6,정,부산광역시 금정구 서동 210-6,129.1062785894979,35.21419837699136
272,대연2호,부산,남구,부산 남구 대연동 52-7,정,부산광역시 남구 대연동 52-7,129.10208798553853,35.1366544466957
268,정관1호,부산,기장군,부산 기장군 정관면 매학리 751-8,정,부산광역시 기장군 정관읍 매학리 751-8,129.18103610683787,35.32047160743854
266,기장,부산,기장군,부산 기장군 기장읍 동부리 134-2,정,부산광역시 기장군 기장읍 동부리 134-2,129.21431719702332,35.24758931336634
271,대연1호,부산,남구,부산 남구 대연동 1013-8,정,부산광역시 남구 대연동 1013-8,129.0899874865304,35.13000648177959
277,문현2호,부산,남구,부산 남구 문현1동 127-56,정,부산광역시 남구 문현동 127-56,129.0713243118112,35.143169361558314
261,부곡1호,부산,금정구,부산 금정구 부곡동 23-15,정,부산광역시 금정구 부곡동 23-15,129.0936426722341,35.2424356641326
270,감만,부산,남구,부산 남구 감만1동 158-6,정,부산광역시 남구 감만동 158-6,129.0812374494814,35.115395752223705
282,명륜(부산),부산,동래구,부산 동래구 명륜1동 673-9,대,부산광역시 동래구 명륜동,129.08343781567413,35.20986508330005
278,용호1호,부산,남구,부산 남구 용호동 555-19,정,부산광역시 남구 용호동 555-19,129.11099222348074,35.11038183730583
274,메트로시티1호,부산,남구,부산 남구 용호동 176-30,정,부산광역시 남구 용호동 176-30,129.11236703292596,35.128408234364954
295,당감,부산,부산진구,부산 부산진구 당감동 367-2,정,부산광역시 부산진구 당감동 367-2,129.03463807502516,35.1647818369053
273,대연3호,부산,남구,부산 남구 대연동 1161-9,정,부산광역시 남구 대연동 1161-9,129.08894082466043,35.12545040137098
275,못골,부산,남구,부산 남구 대연동 1543-33,정,부산광역시 남구 대연동 1543-33,129.0868244680888,35.13820976905391
279,범일1호,부산,동구,부산 동구 범일동 833-2,정,부산광역시 동구 범일동 833-2,129.0599217094264,35.1399327247874
283,명장1호,부산,동래구,부산 동래구 명장동 26-24번지 국제아파트 상가 106호,정,부산광역시 동래구 명장동 26-24,129.09964266270416,35.205548173960885
287,수안,부산,동래구,부산 동래구 수안동 192-4,정,부산광역시 동래구 수안동 192-4,129.08437582131896,35.20099219335549
269,정관2호,부산,기장군,부산 기장군 모전리 747-7,정,부산광역시 기장군 정관읍 모전리 747-7,129.1683897628353,35.334746716604776
281,초량,부산,동구,부산 동구 초량동 132-1,정,부산광역시 동구 초량동 132-1,129.03941884595812,35.12066438173924
292,가야,부산,부산진구,부산 부산진구 가야동 478,정,부산광역시 부산진구 가야동 478,129.03065171175794,35.14765950365932
286,사직2호,부산,동래구,부산 동래구 사직동 89-16,정,부산광역시 동래구 사직동 89-16,129.05925354833096,35.19562515318076
285,사직1호(부산),부산,동래구,부산 동래구 사직동 137-5번지,정,부산광역시 동래구 사직동 137-5,129.0702218245867,35.2002696577474
297,부암1호,부산,부산진구,부산 부산진구 부암동 301-33,정,부산광역시 부산진구 부암동 301-33,129.04904850072214,35.16687471872327
276,문현1호,부산,남구,부산 남구 문현동 359-5,정,부산광역시 남구 문현동 359-5,129.07147032535087,35.13639851400413
293,개금1호,부산,부산진구,부산 부산진구 개금동 2-1,정,부산광역시 부산진구 개금동 2-1,129.0258034142382,35.161428459931386
288,안락2호,부산,동래구,부산 동래구 안락동 670-13,정,부산광역시 동래구 안락동 670-13,129.1006080434757,35.193922767277115
310,화명신도시,부산,북구,부산 북구 화명동 2266-1,정,부산광역시 북구 화명동 2266-1,129.0086863467511,35.23625325816982
289,온천1호,부산,동래구,부산 동래구 온천동 210-5번지,정,부산광역시 동래구 온천동 210-5,129.08125491210674,35.219164758958414
294,개금2호,부산,부산진구,부산 부산진구 개금1동 201-6,정,부산광역시 부산진구 개금동 201-6,129.02400737148827,35.15349715909597
